"Esco_Level_1","Esco_Level_2","REGION0","Esco_code","Popn","formal","non-formal","on_job"
"Professionals","Teaching professionals","IT",6,1012970.5,20.0886847172,50.8326851569,25.2032224526
"Professionals","Business and administration professionals","UK",6,426538.8,15.2849434238,78.8695705207,58.085038057
"Professionals","Health professionals","UK",6,318254.37,33.8119169874,83.1759480586,68.7208408461
"Professionals","Information and communications technology professionals","UK",6,437248.41,15.3726149436,53.7463510415,32.6468979134
"Professionals","Legal, social and cultural professionals","UK",6,748857.24,19.196460262,76.6174046111,51.700699949
"Professionals","Science and engineering professionals","UK",6,719378.77,23.2337846673,71.2047579422,48.2929450427
"Professionals","Teaching professionals","UK",6,1146420.7,20.0100816718,83.2008558272,70.0989991579
"Service and sales workers","Personal care workers","CZ",7,21106.74,16.1898690013,33.2904407039,29.2545296194
"Service and sales workers","Personal service workers","CZ",7,179559.1,18.2050554216,35.5575758213,29.028494257
"Service and sales workers","Protective services workers","CZ",7,91887.46,19.8323255345,68.25320691,66.2302843391
"Service and sales workers","Sales workers","CZ",7,279169.5,8.5263568798,50.8708433659,45.6483458962
"Service and sales workers","Personal care workers","DE",7,1432421.48,24.9066164186,64.9595034839,49.2276907411
"Service and sales workers","Personal service workers","DE",7,2275011.8,8.6290446017,39.650699769,29.3092929273
"Service and sales workers","Protective services workers","DE",7,485214.22,8.0048207533,77.3443663056,69.863592811
"Service and sales workers","Sales workers","DE",7,2983666.2,14.3006126372,40.961762741,26.993066793
"Service and sales workers","Personal care workers","IE",7,114842.61,23.4334204963,56.9100003424,41.9839945076
"Service and sales workers","Personal service workers","IE",7,84312.19,27.4058515815,39.2213320278,24.8871272559
"Service and sales workers","Protective services workers","IE",7,29243.4,18.021487811,60.463491556,53.8189913537
"Service and sales workers","Sales workers","IE",7,150110,31.8266119034,40.7161395246,30.9767213527
"Service and sales workers","Personal care workers","IT",7,644487.49,12.090560582,14.1722249974,10.2012850871
"Service and sales workers","Personal service workers","IT",7,1208087.04,7.2131577975,18.7218850027,12.769987616
"Service and sales workers","Protective services workers","IT",7,198240.56,2.4527467133,26.4639232026,16.4199279577
"Service and sales workers","Sales workers","IT",7,1856434.6,3.8085377067,16.2290327667,10.3935850018
"Service and sales workers","Personal care workers","UK",7,1992726.38,33.8486669343,74.3371021925,61.8399125936
"Service and sales workers","Personal service workers","UK",7,1133595.94,26.8614111665,47.0464469467,32.4421753955
"Service and sales workers","Protective services workers","UK",7,456814.3,22.8910894935,69.0359568317,57.4426949608
"Service and sales workers","Sales workers","UK",7,1580491.9,29.3681473565,40.0347614077,33.1927447481
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled agricultural workers","CZ",8,44733.91,0,34.8274152332,10.067697671
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled forestry, fishery and hunting workers","CZ",8,9543.007,0,0,0
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled agricultural workers","DE",8,702650.89,5.117485636,32.2756316602,18.0549650313
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled forestry, fishery and hunting workers","DE",8,0,0,0,0
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled agricultural workers","IE",8,77020.53,9.9050880959,39.443031345,15.1513877657
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled forestry, fishery and hunting workers","IE",8,3773.542,0,59.7797678035,4.635661437
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled agricultural workers","IT",8,420264.22,0,3.4095595549,1.0613488831
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled forestry, fishery and hunting workers","IT",8,97505.014,0,0,0
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled agricultural workers","UK",8,201884.78,17.8703458082,48.2941019186,31.9692804099
"Skilled agricultural, forestry and fishery workers","Market-oriented skilled forestry, fishery and hunting workers","UK",8,21815.988,44.0769975069,1.7231580355,1.7231580355
"Technicians and associate professionals","Business and administration associate professionals","CZ",9,432198.6,7.2160207661,77.9429613268,67.5593055849
"Technicians and associate professionals","Health associate professionals","CZ",9,12194.983,30.3989466388,64.6944824957,42.2322981346
"Technicians and associate professionals","Information and communications technicians","CZ",9,112031.693,4.2113304738,58.695533701,47.3523738154
"Technicians and associate professionals","Legal, social, cultural and related associate professionals","CZ",9,74309.03,4.8596061475,75.8733583565,65.0255141405
"Technicians and associate professionals","Science and engineering associate professionals","CZ",9,205456.7,10.8525994907,72.7438656565,64.6189087127
"Technicians and associate professionals","Business and administration associate professionals","DE",9,2914665.02,8.2492724234,72.7626545073,56.5566343424
"Technicians and associate professionals","Health associate professionals","DE",9,2265606.929,17.4616861194,76.4753449618,62.9575721517
"Technicians and associate professionals","Information and communications technicians","DE",9,278631.485,9.706984615,68.7435499986,61.2816119034
"Technicians and associate professionals","Legal, social, cultural and related associate professionals","DE",9,518366.31,14.0068054368,64.9909597608,50.9312481371
"Technicians and associate professionals","Science and engineering associate professionals","DE",9,891489.88,7.7418293926,70.9692367413,57.3988258429
"Technicians and associate professionals","Business and administration associate professionals","IE",9,96261.77,16.0138475829,70.2415585744,52.8952602567
"Technicians and associate professionals","Health associate professionals","IE",9,9546.285,9.4231294852,91.6491439118,79.3741230308
"Technicians and associate professionals","Information and communications technicians","IE",9,5589.146,17.5235416759,82.3285857496,76.1621825569
"Technicians and associate professionals","Legal, social, cultural and related associate professionals","IE",9,39035.05,17.2116963273,49.2369742403,42.8473611101
"Technicians and associate professionals","Science and engineering associate professionals","IE",9,37029.57,21.2943092511,75.14092371,66.9076165202
"Technicians and associate professionals","Business and administration associate professionals","IT",9,1879054.21,7.7358143524,45.1685120229,32.8551196451
"Technicians and associate professionals","Health associate professionals","IT",9,442662.124,6.5901557092,62.7552897027,46.7806445116
"Technicians and associate professionals","Information and communications technicians","IT",9,240285.017,0,45.5976626314,34.3242799678
"Technicians and associate professionals","Legal, social, cultural and related associate professionals","IT",9,215500.92,19.5091720524,50.9129480426,19.8995860729
"Technicians and associate professionals","Science and engineering associate professionals","IT",9,815347.14,4.7885679978,44.8146551907,25.9178745725
"Technicians and associate professionals","Business and administration associate professionals","UK",9,1345033.25,19.2102718482,70.7535295885,51.8141335873
"Technicians and associate professionals","Health associate professionals","UK",9,649842.133,30.3340091475,83.0330878624,77.8958802109
"Technicians and associate professionals","Information and communications technicians","UK",9,325833.554,34.0060048347,70.9090678491,48.5539436092
"Technicians and associate professionals","Legal, social, cultural and related associate professionals","UK",9,559677.23,30.0491496277,66.8346874376,43.9651254611
"Technicians and associate professionals","Science and engineering associate professionals","UK",9,294409.27,38.0183678072,72.5417113954,63.2243159834
